author_name,count,Map To
chrisf,661,Chris Forbes
Curtis S,163,Curtis Shmyr
dan9550,1,Dan9550
DArcy Rush,70,D'Arcy Rush
David Jiménez,59,David Jiménez
Deniz Ayıkol,13,Deniz Ayikol
forcecore,23,Forcecore
Guido L,33,Guido Lipke
Guido L.,18,Guido Lipke
huwpascoe,114,Huw Pascoe
Matija H,17,matija-hustic
Matija Hustić,112,matija-hustic
Matthias MailÃ¤nder,4,Matthias Mailänder
Matthias Mailänder,52,Matthias Mailänder
MustaphaTR,2,Mustapha
pchote,175,Paul Chote
penev92,1253,Pavel Penev
Pi Delport,1,Piët Delport
pizzaoverhead,1,Pizzaoverhead
Scott_NZ,970,ScottNZ
unknown,49,Unknown
(no author),369,
4mfie,5,
Aaron Campf,1,
abc013,139,
abcdefg30,6777,
Abdurrahmaan Iqbal,47,
ABrandau,16,
Adam Mitchell,13,
AgentAAA,1,
Aigamo,1,
airetaM,1,
Alexander Boll,58,
Alexander Fast,440,
Alexander Heinz,5,
Alexandre Oliveira,20,
Alexis Hunt,47,
Alfred Lang,2,
Alfredo Brandau,1,
Allan Greis Eriksen,1,
Alli,102,
alzeih,1431,
Andre Mohren,2151,
andrew,7,
Andrew Aldridge,14,
Andrew Odintsov,6,
Andrew Riedi,2,
Andrii Yukhymchak,5,
Andy Perkins,6,
AngryBirdz,8,
Angusm3,3,
Anson Wayman,2,
Anthony Diep,4,
AoAGeneral,66,
Arular101,1479,
asl97,2,
atimoschenkow,12,
atlimit8,1681,
baxtor,2,
bean601,1,
beedee,101,
Bellator,3,
Ben Thatcher,1,
Benjamin Hodgetts,1,
Benno van den Bogaard,6,
BGluth,11,
Biofreak1987,119,
bkero,1,
blackhand1001,6,
Blarget2,1,
Bob,3164,
bob,99,
Boomer,7,
Booom3,12,
bountysource-support,1,
Brent Gardner,3,
Brenton Horne,13,
bryanwilbur,2,
buddytex,6,
Bugra Cuhadaroglu,4,
Bynnar18,48,
C. Helmig,13,
Caleb Anderson,88,
Carko,18,
Castle,2,
CH4Code,1,
Chicken man,98,
Chris,1,
Chris Cameron,2,
Chris Forbes,13087,
Chris Harris,2,
Christer Ulfsparre,4,
Christoph Korn,1,
Christopher Grant,12,
Clément Bœsch,42,
clemty,237,
Codes4Fun,1,
Cody Brittain,13,
colonelpopcorn,22,
Cr0s,3,
CrazyAlex25,12,
Curtis Shmyr,362,
Dan9550,62,
Daniel,118,
Daniel Hernandez,8,
Daniel Llewellyn,1,
D'Arcy Rush,14,
darkademic,16,
David Jiménez,14,
David Russell,4,
David Wilson,26,
daVoodooShuffle,80,
Dayne Marais,2,
DeadlySurprise,50,
Deniz Ayikol,1,
deniz1a,103,
Dennis Snell,1,
DESKTOP-7PLKRFC\jur_1,1,
Dmitri Suvorov,13,
Dmitry Yu Okunev,1,
DnAp,5,
dnqbob,11,
Doruk Turak,1,
dsimmons87,1,
dtluna,97,
Dylan Manitta,10,
earthpig,10,
Ectras,32,
elena-v2,1,
Emiel Suilen,9,
Emmalyn Renato,1,
