,fullpath,project,path,filename,ext,lines
0,OpenRA.Game/Activities/Activity.cs,OpenRA.Game,Activities,Activity.cs,.cs,291
1,OpenRA.Game/Activities/CallFunc.cs,OpenRA.Game,Activities,CallFunc.cs,.cs,33
2,OpenRA.Game/./Actor.cs,OpenRA.Game,.,Actor.cs,.cs,645
3,OpenRA.Game/./CPos.cs,OpenRA.Game,.,CPos.cs,.cs,150
4,OpenRA.Game/./CryptoUtil.cs,OpenRA.Game,.,CryptoUtil.cs,.cs,261
5,OpenRA.Game/./CVec.cs,OpenRA.Game,.,CVec.cs,.cs,122
6,OpenRA.Game/./DefaultPlayer.cs,OpenRA.Game,.,DefaultPlayer.cs,.cs,20
7,OpenRA.Game/Effects/AsyncAction.cs,OpenRA.Game,Effects,AsyncAction.cs,.cs,39
8,OpenRA.Game/Effects/DelayedAction.cs,OpenRA.Game,Effects,DelayedAction.cs,.cs,37
9,OpenRA.Game/Effects/DelayedImpact.cs,OpenRA.Game,Effects,DelayedImpact.cs,.cs,43
10,OpenRA.Game/Effects/IEffect.cs,OpenRA.Game,Effects,IEffect.cs,.cs,28
11,OpenRA.Game/./ExternalMods.cs,OpenRA.Game,.,ExternalMods.cs,.cs,290
12,OpenRA.Game/./Exts.cs,OpenRA.Game,.,Exts.cs,.cs,614
13,OpenRA.Game/./FieldLoader.cs,OpenRA.Game,.,FieldLoader.cs,.cs,815
14,OpenRA.Game/./FieldSaver.cs,OpenRA.Game,.,FieldSaver.cs,.cs,127
15,OpenRA.Game/FileFormats/Png.cs,OpenRA.Game,FileFormats,Png.cs,.cs,379
16,OpenRA.Game/FileFormats/ReplayMetadata.cs,OpenRA.Game,FileFormats,ReplayMetadata.cs,.cs,110
17,OpenRA.Game/FileSystem/FileSystem.cs,OpenRA.Game,FileSystem,FileSystem.cs,.cs,330
18,OpenRA.Game/FileSystem/Folder.cs,OpenRA.Game,FileSystem,Folder.cs,.cs,108
19,OpenRA.Game/FileSystem/IPackage.cs,OpenRA.Game,FileSystem,IPackage.cs,.cs,42
20,OpenRA.Game/FileSystem/ZipFile.cs,OpenRA.Game,FileSystem,ZipFile.cs,.cs,236
21,OpenRA.Game/./Fonts.cs,OpenRA.Game,.,Fonts.cs,.cs,37
22,OpenRA.Game/./Game.cs,OpenRA.Game,.,Game.cs,.cs,979
23,OpenRA.Game/./GameInformation.cs,OpenRA.Game,.,GameInformation.cs,.cs,198
24,OpenRA.Game/GameRules/ActorInfo.cs,OpenRA.Game,GameRules,ActorInfo.cs,.cs,178
25,OpenRA.Game/GameRules/MusicInfo.cs,OpenRA.Game,GameRules,MusicInfo.cs,.cs,65
26,OpenRA.Game/GameRules/Ruleset.cs,OpenRA.Game,GameRules,Ruleset.cs,.cs,289
27,OpenRA.Game/GameRules/SoundInfo.cs,OpenRA.Game,GameRules,SoundInfo.cs,.cs,94
28,OpenRA.Game/GameRules/WeaponInfo.cs,OpenRA.Game,GameRules,WeaponInfo.cs,.cs,256
29,OpenRA.Game/./GameSpeed.cs,OpenRA.Game,.,GameSpeed.cs,.cs,60
30,OpenRA.Game/Graphics/Animation.cs,OpenRA.Game,Graphics,Animation.cs,.cs,247
