19857	OPEN	Engine / Mod credit tab highlighting doesn't work	Bug	2021-12-28 11:42:22 +0000 UTC
19855	CLOSED	ChangesHealth incorrect work	Limitation	2021-12-28 23:18:47 +0000 UTC
19849	OPEN	"Connection Failed" during Singleplayer Skirmish	Bug	2021-12-20 08:16:24 +0000 UTC
19848	OPEN	Feedback wanted on sample HD assets for Red Alert	Red Alert, Question / Support, Artwork	2021-12-21 11:04:23 +0000 UTC
19845	OPEN	Broken attack move for vehicel with turret weapon	Bug	2021-12-14 20:52:29 +0000 UTC
19844	OPEN	Activity and AI: give Activity a tag for condition judgement and micromanagement of AI	Idea/Wishlist, AI	2021-12-14 10:55:35 +0000 UTC
19841	CLOSED	CNCTFD DVD not detected when trying to install additional data (Ubuntu snap package, USB external drive)	Bug, Packaging, OS: Linux	2021-12-19 13:31:55 +0000 UTC
19840	OPEN	Lint test cursor sequences	Feature, Utility	2021-12-10 09:18:23 +0000 UTC
19837	CLOSED	NullReferenceException in OpenRA.Sound.PlayPredefined	Crash, Audio	2021-12-08 20:07:20 +0000 UTC
19834	OPEN	Question: On desync, does OpenRA have a possibility that not disconnect all players?	Question / Support	2021-12-12 18:01:47 +0000 UTC
19830	OPEN	RenderDetectionCircle doesnt appear on a call-in Aircraft actor	Idea/Wishlist	2021-11-30 10:13:28 +0000 UTC
19829	OPEN	Carryall trait cannot give itself PassengerConditions like Cargo trait can does	Idea/Wishlist	2021-11-30 10:04:31 +0000 UTC
19828	OPEN	Make InfiltrateForSupportPower a conditionable trait	Idea/Wishlist	2021-11-30 09:52:59 +0000 UTC
19827	OPEN	Make it possible to eject a pilot when Transform gets used	Idea/Wishlist	2021-11-30 09:48:04 +0000 UTC
19826	OPEN	Allow SpawnActorOnDeath: to set Health % of appearing actor	Idea/Wishlist	2021-11-30 11:51:49 +0000 UTC
19825	CLOSED	On GiveUnitCrateAction allow to define a Sequence: to be played when crate gets picked up.	Idea/Wishlist	2021-11-30 17:43:23 +0000 UTC
19824	OPEN	IonCannonPower cannot reside in a Power proxy	Bug	2021-11-30 09:43:50 +0000 UTC
19823	CLOSED	WithChargeOverlay appears during buildup anim of a Structure	Bug	2021-11-30 22:32:16 +0000 UTC
19822	OPEN	AcceptsDeliveredCash should able to give a condition while in effect	Idea/Wishlist	2021-11-30 09:38:50 +0000 UTC
19821	OPEN	WithSpriteTurret cannot be provided with a Offset	Idea/Wishlist	2021-11-30 09:36:12 +0000 UTC
19820	OPEN	RenderRangeCircle: disappears whenever weapon with Ammo is reloading on the Actor	Bug	2021-11-30 09:34:33 +0000 UTC
19819	OPEN	LaserZap projectile doesnt have a RangeLimit field at all	Bug	2021-11-30 09:33:05 +0000 UTC
19818	OPEN	Make ReloadAmmoDelayMultiplier also work for ReloadAmmoPool	Idea/Wishlist	2021-11-30 09:28:04 +0000 UTC
19817	OPEN	Of Teleporting Harvesters and Carryalls	Bug	2021-11-30 09:26:41 +0000 UTC
19816	OPEN	Improve fullscreen support on MacBook Pro's with notch on screen	Bug, OS: MacOS X	2021-11-29 22:37:32 +0000 UTC
19813	CLOSED	General-like building process support	Idea/Wishlist	2021-11-27 16:57:17 +0000 UTC
19812	OPEN	Editor should able to check and tell Invalid ownership of actors with RequiresSpecificOwners:	Idea/Wishlist, Map Editor	2021-11-23 15:14:06 +0000 UTC
